symbol,company_name,sector,current_price,num_analysts,long_term_score,value_score_v2,forward_pe,peg_ratio,sentiment_score,article_count,positive_pct,past_30d_return,sentiment_quintile
CRH,CRH plc,Basic Materials,123.655,21,51.0,42.0,18.17,1.57,81.0,20.0,80.0,-4.598238640791837,Q4
COIN,"Coinbase Global, Inc.",Financial Services,188.97,21,21.0,20.0,25.13,1.23,48.0,20.0,40.0,-23.60740624509649,Q1 (Low)
ANET,"Arista Networks, Inc.",Technology,141.425,21,65.0,31.0,34.74,1.66,75.0,20.0,90.0,3.3165682629929383,Q3
AMRZ,Amrize Ltd,Basic Materials,53.22,21,,,18.15,1.77,85.0,20.0,90.0,-6.536412078152754,Q5 (High)
ALNY,"Alnylam Pharmaceuticals, Inc.",Healthcare,340.6166,21,43.0,15.0,27.78,0.39,80.0,20.0,90.0,-15.02400522836387,Q4
AFRM,"Affirm Holdings, Inc.",Technology,61.4851,21,53.0,36.0,38.46,0.63,65.0,20.0,70.0,-25.371287128712872,Q1 (Low)
ORLY,"O'Reilly Automotive, Inc.",Consumer Cyclical,97.6,21,33.0,7.0,26.65,2.53,75.0,20.0,80.0,8.644292338264515,Q3
MELI,"MercadoLibre, Inc.",Consumer Cyclical,2168.495,21,45.0,34.0,25.87,0.61,75.0,20.0,80.0,-0.038629445876885035,Q3
LIN,Linde plc,Basic Materials,459.6945,21,41.0,22.0,23.5,2.46,70.0,20.0,70.0,5.511429231124453,Q2
KVYO,"Klaviyo, Inc.",Technology,23.19,21,50.0,7.0,23.47,1.03,81.0,20.0,85.0,-23.650739085596424,Q4
ZM,"Zoom Communications, Inc.",Technology,93.3408,20,43.0,19.0,15.39,9.42,73.0,20.0,80.0,7.24604183520166,Q2
YUM,"Yum! Brands, Inc.",Consumer Cyclical,156.94,20,43.0,26.0,21.02,1.83,72.0,20.0,85.0,3.95235877303879,Q2
VRT,Vertiv Holdings Co,Industrials,190.55,20,55.0,22.0,28.27,1.08,83.0,20.0,95.0,10.175337740730106,Q5 (High)
TXRH,"Texas Roadhouse, Inc.",Consumer Cyclical,182.3779,20,49.0,23.0,22.48,0.99,82.0,20.0,90.0,5.09981642955485,Q5 (High)
TNDM,"Tandem Diabetes Care, Inc.",Healthcare,20.8194,20,55.0,13.0,,,93.0,20.0,100.0,-12.250971922246213,Q5 (High)
TEAM,Atlassian Corporation,Technology,117.65,20,23.0,0.0,20.89,1.33,65.0,20.0,75.0,-25.68228489732258,Q1 (Low)
SEDG,"SolarEdge Technologies, Inc.",Energy,30.14,20,68.0,15.0,17.6,,71.0,20.0,75.0,-2.1113243761996165,Q2
RACE,Ferrari N.V.,Consumer Cyclical,337.85,20,26.0,22.0,27.02,2.92,79.0,20.0,90.0,-11.089724998022518,Q4
HUM,Humana Inc.,Healthcare,190.565,20,35.0,49.0,9.94,0.17,67.0,20.0,70.0,-29.224075416968827,Q1 (Low)
ESTC,Elastic N.V.,Technology,66.23,20,28.0,15.0,23.91,1.8,82.0,20.0,95.0,-11.277082492262139,Q5 (High)
DT,"Dynatrace, Inc.",Technology,38.585,20,28.0,21.0,20.97,1.68,80.0,20.0,85.0,-10.649777152240205,Q4
BZ,Kanzhun Limited,Industrials,18.6464,20,43.0,47.0,1.83,0.12,69.0,17.0,70.6,-13.173933427097978,Q2
APP,AppLovin Corporation,Technology,485.7,20,50.0,36.0,25.22,0.85,63.0,20.0,70.0,-25.248455546602194,Q1 (Low)
ALC,Alcon Inc.,Healthcare,79.54,20,33.0,16.0,19.54,1.32,81.0,20.0,90.0,0.4091754494730294,Q4
AAP,"Advance Auto Parts, Inc.",Consumer Cyclical,48.49,20,35.0,0.0,11.74,0.22,62.0,20.0,60.0,23.89677419354838,Q1 (Low)
ROKU,"Roku, Inc.",Communication Services,97.0,20,43.0,17.0,39.43,0.45,71.0,20.0,70.0,-16.986396930589468,Q2
RIVN,"Rivian Automotive, Inc.",Consumer Cyclical,14.55,20,60.0,10.0,,,64.0,20.0,75.0,-24.70648289943849,Q1 (Low)
MNDY,monday.com Ltd.,Technology,116.16,20,40.0,18.0,18.86,0.71,68.0,20.0,65.0,-19.62597184282413,Q2
LNW,"Light & Wonder, Inc.",Consumer Cyclical,99.75,20,60.0,52.0,12.99,0.53,85.0,9.0,100.0,1.0091302258529526,Q5 (High)
ZTO,ZTO Express (Cayman) Inc.,Industrials,22.14,19,45.0,37.0,1.57,0.15,83.0,20.0,85.0,1.8885306310456016,Q5 (High)
WBD,"Warner Bros. Discovery, Inc.",Communication Services,27.6279,19,55.0,40.0,,,49.0,20.0,30.0,-3.207150368033658,Q1 (Low)
WAY,Waystar Holding Corp.,Technology,26.45,19,26.0,35.0,14.2,1.01,72.0,20.0,65.0,-17.117684078036504,Q2
ULTA,"Ulta Beauty, Inc.",Consumer Cyclical,661.2912,19,51.0,23.0,23.26,2.06,92.0,20.0,100.0,5.0669412976313115,Q5 (High)
TSM,Taiwan Semiconductor Manufacturing Company Limited,Technology,343.42,19,46.0,19.0,0.63,0.03,67.0,20.0,80.0,6.179984484096205,Q1 (Low)
TSLA,"Tesla, Inc.",Consumer Cyclical,421.96,19,65.0,45.0,156.1,4.57,63.0,20.0,65.0,-6.12172603892223,Q1 (Low)
TRU,TransUnion,Industrials,78.005,19,34.0,40.0,13.77,0.84,77.0,20.0,85.0,-10.667050028752163,Q3
PWR,"Quanta Services, Inc.",Industrials,472.28,19,56.0,23.0,32.67,2.0,76.0,20.0,75.0,9.373135698224043,Q3
KLAC,KLA Corporation,Technology,1409.37,19,45.0,1.0,30.66,1.18,73.0,20.0,85.0,5.581722059965249,Q2
ISRG,"Intuitive Surgical, Inc.",Healthcare,499.43,19,38.0,10.0,43.53,3.03,77.0,20.0,85.0,-10.974963805219105,Q3
HWM,Howmet Aerospace Inc.,Industrials,208.22501,19,53.0,9.0,39.51,2.2,77.0,20.0,80.0,-2.2731542363328834,Q3
GLOB,Globant S.A.,Technology,66.74,19,38.0,50.0,9.85,1.29,79.0,20.0,90.0,0.28490028490028146,Q4
EQIX,"Equinix, Inc.",Real Estate,818.145,19,41.0,10.0,50.51,5.92,73.0,20.0,85.0,6.335328100308278,Q2
DLR,"Digital Realty Trust, Inc.",Real Estate,165.97,19,31.0,20.0,85.78,3.77,84.0,20.0,95.0,6.5352763690055715,Q5 (High)
ARRY,"Array Technologies, Inc.",Energy,10.8781,19,40.0,2.0,10.6,0.66,73.0,20.0,80.0,25.470653377630132,Q2
PLTR,Palantir Technologies Inc.,Technology,149.14,19,50.0,44.0,109.37,2.85,67.0,20.0,75.0,-15.7722362675247,Q1 (Low)
ODFL,"Old Dominion Freight Line, Inc.",Industrials,182.305,19,61.0,40.0,30.94,1.76,69.0,20.0,75.0,5.783912538936053,Q2
NBIX,"Neurocrine Biosciences, Inc.",Healthcare,136.79,19,48.0,22.0,16.19,0.93,71.0,20.0,60.0,0.05147437311566525,Q2
MCHP,Microchip Technology Incorporated,Technology,77.75,19,40.0,5.0,29.65,0.41,74.0,20.0,90.0,13.212048911422606,Q3
KYMR,"Kymera Therapeutics, Inc.",Healthcare,74.5044,19,53.0,0.0,,,71.0,20.0,65.0,0.38668692169589997,Q2
SWKS,"Skyworks Solutions, Inc.",Technology,56.5417,18,43.0,63.0,11.24,0.82,81.0,20.0,95.0,-13.190607734806628,Q4
SI,"SHOULDER INNOVATIONS, INC.",Healthcare,14.01,18,,,,,81.0,18.0,94.4,-1.1830201809324978,Q4
SHAK,Shake Shack Inc.,Consumer Cyclical,93.86,18,36.0,32.0,54.55,2.1,61.0,20.0,60.0,11.68722308705543,Q1 (Low)
QSR,Restaurant Brands International Inc.,Consumer Cyclical,66.87,18,31.0,33.0,15.32,1.76,78.0,20.0,80.0,0.08990110878034505,Q4
PEN,"Penumbra, Inc.",Healthcare,358.57,18,58.0,22.0,55.64,2.02,73.0,20.0,90.0,13.409523809523813,Q2
